Sample_ID	Control_description	Control_type	Timepoint	Extraction_plate	Well	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	Final_reads_per_sample	Notes
EP1-Syn-Rep1-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP1	Syn-Rep	T1	EP1	F3	207867	57836	57836	51430	51430	51017	51017	51017	Reads retained in control throughout processing
EP2-Syn-Rep1-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP2	Syn-Rep	T1	EP2	F1	279627	166217	166205	165096	165096	164881	164881	164881	Reads retained in control throughout processing
EP3-Syn-Rep1-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP3	Syn-Rep	T1	EP3	A5	206295	100781	100780	92144	92144	92039	92039	92039	Reads retained in control throughout processing
EP1-Syn-Rep2-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP1	Syn-Rep	T1	EP1	C5	282287	56509	56509	50177	50177	49679	49679	49679	Reads retained in control throughout processing
EP2-Syn-Rep2-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP2	Syn-Rep	T1	EP2	B6	99475	59021	58978	58736	58736	58669	58669	58669	Reads retained in control throughout processing
EP3-Syn-Rep2-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP3	Syn-Rep	T1	EP3	H3	373857	213527	213526	190355	190355	190117	190117	190117	Reads retained in control throughout processing
EP1-Syn-Rep3-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP1	Syn-Rep	T1	EP1	G5	211233	45233	45232	45111	45111	44808	44808	44808	Reads retained in control throughout processing
EP2-Syn-Rep3-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP2	Syn-Rep	T1	EP2	H8	494669	319208	319208	315563	315563	315200	315200	315200	Reads retained in control throughout processing
EP3-Syn-Rep3-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP3	Syn-Rep	T1	EP3	E2	380435	222494	222481	199573	199573	199250	199250	199250	Reads retained in control throughout processing
EP1-Syn-Rep4-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP1	Syn-Rep	T1	EP1	F9	119014	29580	29580	26288	26288	26119	26119	26119	Reads retained in control throughout processing
EP2-Syn-Rep4-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP2	Syn-Rep	T1	EP2	C11	360356	230664	230552	229235	228821	228432	228432	228432	Reads retained in control throughout processing
EP3-Syn-Rep4-T1-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP3	Syn-Rep	T1	EP3	C2	306308	181641	181640	162700	162700	162441	162441	162441	Reads retained in control throughout processing
EP4-Amp-Blank-T2-ITS	Negative control added at the amplicon PCR stage for extraction plate EP4	Amp-Blank	T2	EP4	C12	12069	NA	NA	NA	NA	NA	NA	NA	Dropped out during quality filtering
EP5-Amp-Blank-T2-ITS	Negative control added at the amplicon PCR stage for extraction plate EP5	Amp-Blank	T2	EP5	A2	236454	1	1	1	1	1	1	1	Reads retained in control throughout processing
EP6-Amp-Blank-T2-ITS	Negative control added at the amplicon PCR stage for extraction plate EP6_and_EP9	Amp-Blank	T2	EP6_and_EP9	A6	104293	16853	16851	16847	16847	16847	16847	16847	Reads retained in control throughout processing
EP4-DNAblank-T2-ITS	Negative control added at the DNA extraction stage for extraction plate EP4	DNAblank	T2	EP4	B1	16736	NA	NA	NA	NA	NA	NA	NA	Dropped out during quality filtering
EP5-DNAblank-T2-ITS	Negative control added at the DNA extraction stage for extraction plate EP5	DNAblank	T2	EP5	G7	208696	77	73	70	70	70	70	70	Reads retained in control throughout processing
EP6-DNAblank-T2-ITS	Negative control added at the DNA extraction stage for extraction plate EP6_and_EP9	DNAblank	T2	EP6_and_EP9	H3	86284	1	1	1	1	1	1	1	Reads retained in control throughout processing
EP4-Idx-Blank-T2-ITS	Negative control added at the indexing PCR stage for extraction plate EP4	Idx-Blank	T2	EP4	E5	77460	NA	NA	NA	NA	NA	NA	NA	Dropped out during quality filtering
EP5-Idx-Blank-T2-ITS	Negative control added at the indexing PCR stage for extraction plate EP5	Idx-Blank	T2	EP5	C3	281458	NA	NA	NA	NA	NA	NA	NA	Dropped out during quality filtering
EP6-Idx-Blank-T2-ITS	Negative control added at the indexing PCR stage for extraction plate EP6_and_EP9	Idx-Blank	T2	EP6_and_EP9	B1	93577	585	584	584	584	584	584	584	Reads retained in control throughout processing
EP4-Pine-Rep1-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP4	Pine-Rep	T2	EP4	G2	283870	248850	248455	244932	242705	220450	220450	220450	Reads retained in control throughout processing
EP5-Pine-Rep1-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP5	Pine-Rep	T2	EP5	H3	377631	340393	339380	333338	331048	301234	301234	301216	Reads retained in control throughout processing
EP6-Pine-Rep1-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9	Pine-Rep	T2	EP6_and_EP9	G5	240088	208795	208535	206675	205287	185528	185528	185523	Reads retained in control throughout processing
EP4-Pine-Rep2-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP4	Pine-Rep	T2	EP4	D3	212549	185863	185488	184828	183138	167743	167743	167733	Reads retained in control throughout processing
EP5-Pine-Rep2-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP5	Pine-Rep	T2	EP5	F5	243408	219195	218830	214162	212400	193480	193480	193475	Reads retained in control throughout processing
EP6-Pine-Rep2-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9	Pine-Rep	T2	EP6_and_EP9	E1	257043	225878	225463	223207	221047	200146	200146	200142	Reads retained in control throughout processing
EP4-Pine-Rep3-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP4	Pine-Rep	T2	EP4	C7	748946	655443	654754	647142	641039	584201	584201	584183	Reads retained in control throughout processing
EP4-Pine-Rep3-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP5	Pine-Rep	T2	EP5	C7	748946	655443	654754	647142	641039	584201	584201	584183	Reads retained in control throughout processing
EP6-Pine-Rep3-T2-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9	Pine-Rep	T2	EP6_and_EP9	D5	211557	185794	185449	183795	181998	166042	166042	166018	Reads retained in control throughout processing
EP4-Syn-Extr-T2-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP4	Syn-Extr	T2	EP4	H4	503234	283709	283705	279718	279718	279565	279565	279565	Reads retained in control throughout processing
EP5-Syn-Extr-T2-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP5	Syn-Extr	T2	EP5	F9	282090	125437	125436	122945	122945	122660	122660	122660	Reads retained in control throughout processing
EP6-Syn-Extr-T2-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP6_and_EP9	Syn-Extr	T2	EP6_and_EP9	C3	181340	94765	94740	93633	93633	93502	93502	93502	Reads retained in control throughout processing
EP4-Syn-Rep1-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4	Syn-Rep	T2	EP4	F7	206711	118398	118398	116894	116894	116837	116837	116837	Reads retained in control throughout processing
EP5-Syn-Rep1-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5	Syn-Rep	T2	EP5	F1	289808	135307	135306	132677	132677	132146	132146	132146	Reads retained in control throughout processing
EP6-Syn-Rep1-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T2	EP6_and_EP9	B4	176472	95842	95840	95039	95039	94844	94844	94844	Reads retained in control throughout processing
EP4-Syn-Rep2-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4	Syn-Rep	T2	EP4	E10	234679	129479	129367	128429	128429	128338	128338	128338	Reads retained in control throughout processing
EP5-Syn-Rep2-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5	Syn-Rep	T2	EP5	C10	217196	126892	126892	124257	124257	123927	123927	123927	Reads retained in control throughout processing
EP6-Syn-Rep2-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T2	EP6_and_EP9	A3	167175	90842	90842	89881	89881	89798	89798	89798	Reads retained in control throughout processing
EP4-Syn-Rep3-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4	Syn-Rep	T2	EP4	A5	192889	109704	109702	108991	108991	108932	108932	108932	Reads retained in control throughout processing
EP5-Syn-Rep3-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5	Syn-Rep	T2	EP5	D8	228034	128796	128794	126323	126323	125956	125956	125956	Reads retained in control throughout processing
EP6-Syn-Rep3-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T2	EP6_and_EP9	E3	234939	129803	129803	128324	128324	128140	128140	128140	Reads retained in control throughout processing
EP4-Syn-Rep4-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4	Syn-Rep	T2	EP4	G11	437798	256248	256246	253653	253653	253527	253527	253527	Reads retained in control throughout processing
EP5-Syn-Rep4-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5	Syn-Rep	T2	EP5	H12	361531	197781	197605	193623	193623	193316	193316	193316	Reads retained in control throughout processing
EP6-Syn-Rep4-T2-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T2	EP6_and_EP9	C2	163701	91449	91449	90279	90279	90112	90112	90112	Reads retained in control throughout processing
EP7-Amp-Blank-T3-ITS	Negative control added at the amplicon PCR stage for extraction plate EP7	Amp-Blank	T3	EP7	D1	57456	24743	24742	24678	24678	24676	24676	24676	Reads retained in control throughout processing
EP8-Amp-Blank-T3-ITS	Negative control added at the amplicon PCR stage for extraction plate EP8	Amp-Blank	T3	EP8	A11	54206	2584	2576	2576	2576	2576	2576	2576	Reads retained in control throughout processing
EP9-Amp-Blank-T3-ITS	Negative control added at the amplicon PCR stage for extraction plate EP6_and_EP9	Amp-Blank	T3	EP6_and_EP9	B7	13376	0	0	0	0	NA	NA	NA	Dropped out during quality filtering
EP7-DNAblank-T3-ITS	Negative control added at the DNA extraction stage for extraction plate EP7	DNAblank	T3	EP7	G6	123306	79323	79309	78379	78379	78379	78379	78379	Reads retained in control throughout processing
EP8-DNAblank-T3-ITS	Negative control added at the DNA extraction stage for extraction plate EP8	DNAblank	T3	EP8	H3	127668	3669	3668	3668	3668	3666	3666	3666	Reads retained in control throughout processing
EP9-DNAblank-T3-ITS	Negative control added at the DNA extraction stage for extraction plate EP6_and_EP9	DNAblank	T3	EP6_and_EP9	A11	47955	13690	13690	13637	13637	13637	13637	13637	Reads retained in control throughout processing
EP7-Idx-Blank-T3-ITS	Negative control added at the indexing PCR stage for extraction plate EP7	Idx-Blank	T3	EP7	B5	29732	10936	10934	10934	10934	9522	9522	9522	Reads retained in control throughout processing
EP8-Idx-Blank-T3-ITS	Negative control added at the indexing PCR stage for extraction plate EP8	Idx-Blank	T3	EP8	B2	111140	22658	22656	21913	15095	15090	8313	8313	Reads retained in control throughout processing
EP9-Idx-Blank-T3-ITS	Negative control added at the indexing PCR stage for extraction plate EP6_and_EP9	Idx-Blank	T3	EP6_and_EP9	G10	114640	3	1	0	0	NA	NA	NA	Dropped out during merging
EP7-Pine-Rep1-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP7	Pine-Rep	T3	EP7	A2	273127	239605	239200	238257	236228	215141	215141	215111	Reads retained in control throughout processing
EP8-Pine-Rep1-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP8	Pine-Rep	T3	EP8	C10	339971	297721	297265	292457	289765	262029	262029	262002	Reads retained in control throughout processing
EP9-Pine-Rep1-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9	Pine-Rep	T3	EP6_and_EP9	H7	442593	386653	386357	384702	380827	346600	346600	346541	Reads retained in control throughout processing
EP7-Pine-Rep2-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP7	Pine-Rep	T3	EP7	E9	369824	322703	322156	320957	317956	288601	288601	288577	Reads retained in control throughout processing
EP8-Pine-Rep2-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP8	Pine-Rep	T3	EP8	C5	362540	319509	318941	317504	314850	286976	286976	286961	Reads retained in control throughout processing
EP9-Pine-Rep2-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9	Pine-Rep	T3	EP6_and_EP9	A9	391597	342768	342432	341108	337558	308147	308147	308131	Reads retained in control throughout processing
EP7-Pine-Rep3-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP7	Pine-Rep	T3	EP7	G10	162655	142176	141751	141150	140214	127958	127958	127943	Reads retained in control throughout processing
EP8-Pine-Rep3-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP8	Pine-Rep	T3	EP8	F7	437872	376635	376256	373146	370049	338918	338918	338897	Reads retained in control throughout processing
EP9-Pine-Rep3-T3-ITS	Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9	Pine-Rep	T3	EP6_and_EP9	F9	465880	407228	406826	405081	401398	365134	365134	365127	Reads retained in control throughout processing
EP7-Syn-Extr-T3-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP7	Syn-Extr	T3	EP7	G12	195522	91594	91584	91226	91226	91175	91175	91175	Reads retained in control throughout processing
EP8-Syn-Extr-T3-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP8	Syn-Extr	T3	EP8	G9	339651	166254	166250	150852	150852	150756	150756	150756	Reads retained in control throughout processing
EP9-Syn-Extr-T3-ITS	ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP6_and_EP9	Syn-Extr	T3	EP6_and_EP9	C9	309245	158354	158271	157560	157560	157408	157408	157408	Reads retained in control throughout processing
EP7-Syn-Rep1-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7	Syn-Rep	T3	EP7	F3	181506	87363	87363	86909	86909	86841	86841	86841	Reads retained in control throughout processing
EP8-Syn-Rep1-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8	Syn-Rep	T3	EP8	C2	338949	148442	148441	134268	134268	134128	134128	134128	Reads retained in control throughout processing
EP9-Syn-Rep1-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T3	EP6_and_EP9	E8	233092	114653	114653	113592	113592	113484	113484	113484	Reads retained in control throughout processing
EP7-Syn-Rep2-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7	Syn-Rep	T3	EP7	H8	231596	115107	115103	114495	114495	114424	114424	114424	Reads retained in control throughout processing
EP8-Syn-Rep2-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8	Syn-Rep	T3	EP8	B7	350450	151334	151331	137759	137759	137636	137636	137636	Reads retained in control throughout processing
EP9-Syn-Rep2-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T3	EP6_and_EP9	E11	253039	119870	119868	118953	118953	118834	118834	118834	Reads retained in control throughout processing
EP7-Syn-Rep3-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7	Syn-Rep	T3	EP7	D10	262871	138840	138833	137895	137895	137810	137810	137810	Reads retained in control throughout processing
EP8-Syn-Rep3-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8	Syn-Rep	T3	EP8	D12	329762	147195	146839	133357	133357	133092	133092	133092	Reads retained in control throughout processing
EP9-Syn-Rep3-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T3	EP6_and_EP9	H9	214702	104144	104143	103314	103314	103230	103230	103230	Reads retained in control throughout processing
EP7-Syn-Rep4-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7	Syn-Rep	T3	EP7	B9	168224	87461	87458	87148	87148	87048	87048	87048	Reads retained in control throughout processing
EP8-Syn-Rep4-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8	Syn-Rep	T3	EP8	E1	298363	124218	124216	112658	112658	112531	112531	112531	Reads retained in control throughout processing
EP9-Syn-Rep4-T3-ITS	ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9	Syn-Rep	T3	EP6_and_EP9	A10	298628	143469	143467	142371	142371	142246	142246	142246	Reads retained in control throughout processing
